,v1  CLS price,—   CLS price+v3,v4  CLS price+insider,—   CLS price+v3+insider,v2  REG price,v3  REG price+v3,—   REG price+insider,—   REG price+v3+insider,mom 20d,SPY
2022-01-03,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,95594.29936883847,100000.0
2022-01-04,99443.81075199996,98193.79129970915,100027.82152299999,99320.87956100001,99593.23185849997,100571.94228349999,100777.87048049997,100214.20310249997,95716.17119283848,99615.9436585
2022-01-05,96845.60408446952,95672.89523470914,96370.32183864505,95948.58289346952,98398.39185849998,99611.99228349997,99493.98048049997,98036.92310249999,94132.86277433488,97710.9236585
2022-01-06,96712.28393547275,95807.4066962458,96580.78094288746,95672.47191546953,97984.15185849999,99636.16228349999,100069.2494337424,98407.2220557424,93730.26626350032,97618.1036585
2022-01-07,96507.76724895554,94815.83257105839,96034.28611537025,94320.26833162353,98100.31776561591,99973.9222835,101713.11718024239,99229.24344774241,94617.17642050033,97233.56365849999
2022-01-10,95476.90645277029,94977.37947887313,95467.50679610082,93819.2847138541,97213.1400568284,99562.13228349999,100695.64718024239,98476.3777374721,94085.04642050032,97114.2236585
2022-01-11,96890.69544319855,96322.13375087314,96632.23094310082,94946.1854818541,98430.11701421841,100730.72228349998,101796.4871802424,99245.4748019721,95278.20642050031,97991.59365849999
2022-01-12,97401.31481919855,95523.68099387315,97419.78840709604,95384.99548185412,99252.2870142184,101161.995151,102111.33004774238,99764.12766947209,94894.45642050033,98259.0036585
2022-01-13,96275.31376717224,94044.18038474934,96535.66255325323,95256.49442982777,99415.916112956,100275.77866049997,101098.86511974239,98920.2273304721,94597.59642050033,96908.6936585
2022-01-14,97598.8380928326,93897.6273806411,97475.56456925324,95999.84086782779,100967.45179745599,100863.36521235842,101400.68511974238,98982.85763447208,95445.90642050032,96948.4736585
2022-01-18,96057.05884633257,92497.62237065921,96048.45070875638,95129.93325682779,99000.34179745599,99697.84747735842,99999.58804974606,97945.05763447208,95298.50642050031,95237.9336585
2022-01-19,95189.29559133257,91257.71348568807,94193.13521449995,94050.85752482778,98220.39172814641,99559.88867285843,99019.70524413264,97706.70162097208,93502.42837050032,94252.27365850001
2022-01-20,93063.31677783259,90123.87159254513,92378.24587908821,92523.13698782779,96081.4359011464,98518.83374985843,96551.77600863265,96826.24952297208,91804.52496450032,93213.5736585
2022-01-21,89255.10880481373,89202.36618989383,90812.55396453798,90731.83334882779,94606.55716393786,96940.8126901685,94324.19601910221,94829.0987246364,90475.11415870403,91388.11365849999
2022-01-24,89654.45596329219,88606.63672028322,90941.23346192962,90481.0230327486,94566.08961276585,96464.04098939202,92971.1441179234,95080.00702765836,90390.41195614847,91774.86365849999
2022-01-25,89801.1957607922,90053.11073028321,90133.4522469296,93548.54160699082,95404.15538026586,99768.29622489202,92478.13211856996,97774.98773153994,94257.67244595295,90658.81365849999
2022-01-26,88630.81001765547,89108.09017140379,90365.15099621442,93059.14316566386,94025.73177726586,99209.14894520017,92034.21907556996,98065.64163572853,94303.03745892539,90433.39365849999
2022-01-27,88417.13826874777,89749.81804862429,90216.66232012227,93807.09084868185,93354.4567414627,99327.13042370016,91848.22907556995,98229.64187858335,93937.4390154254,89986.9736585
2022-01-28,90242.58406674776,91590.88593262433,91716.95353362228,94844.71517668184,93883.48285465555,99450.18838670017,94406.78907556995,98633.43865358336,94727.26901542541,92214.6536585
2022-01-31,93410.86292524378,91681.6289576243,93700.90236358067,95836.26517668186,95293.32946365557,100360.62809070018,96237.14907556996,99513.79359758334,94863.8190154254,93869.9436585
2022-02-01,94364.3257092438,93237.78542054235,93521.29886358068,98171.17720892325,96256.73823571556,103839.33565605826,97067.61515556996,101805.85391315477,97182.99547671556,94502.0036585
2022-02-02,94889.30184882178,93697.46062454233,94275.30886358069,98530.93114892328,96875.94279971556,104510.97320143375,97741.57656056994,102090.82723415477,97389.57036971557,95416.9436585
2022-02-03,93681.39818232179,93662.24772954235,93437.00959958068,97570.65069892327,96188.41361571554,103527.46170493374,96662.78647531994,100176.49380615477,96564.62036971556,93180.4236585
