,v1 (price only),v4 (price+insider),momentum 20d,SPY buy & hold
2022-01-03,100000.0,100000.0,95594.29936883847,100000.0
2022-01-04,100493.91913050001,99149.82921799998,95716.17119283848,99615.9436585
2022-01-05,98411.44246296954,96167.60255046953,94132.86277433488,97710.9236585
2022-01-06,97965.58216521819,95550.77423447277,93730.26626350032,97618.1036585
2022-01-07,98044.05400920096,95171.07661076813,94617.17642050033,97233.56365849999
2022-01-10,97111.03225520096,94206.79629199322,94085.04642050032,97114.2236585
2022-01-11,98621.93753062168,95607.1739729932,95278.20642050031,97991.59365849999
2022-01-12,99277.23568512658,95474.37387099813,94894.45642050033,98259.0036585
2022-01-13,98844.39565012661,94371.7131784718,94597.59642050033,96908.6936585
2022-01-14,98807.6256501266,94250.6405974688,95445.90642050032,96948.4736585
2022-01-18,96761.93275277849,92247.92643227187,95298.50642050031,95237.9336585
2022-01-19,96432.72926177848,91365.3823797719,93502.42837050032,94252.27365850001
2022-01-20,95095.72219677849,89808.28403477187,91804.52496450032,93213.5736585
2022-01-21,91537.75600291461,87179.48595917196,90475.11415870403,91388.11365849999
2022-01-24,91583.86348375145,87606.21171703475,90390.41195614847,91774.86365849999
2022-01-25,91434.16570075144,86566.29295353476,94257.67244595295,90658.81365849999
2022-01-26,91143.54570075145,86282.77295353476,94303.03745892539,90433.39365849999
2022-01-27,90095.9424769732,87220.89295353477,93937.4390154254,89986.9736585
2022-01-28,92016.52110668992,88332.81295353475,94727.26901542541,92214.6536585
2022-01-31,95675.48475016649,89937.14184056835,94863.8190154254,93869.9436585
2022-02-01,96511.3469101665,90012.97168056836,97182.99547671556,94502.0036585
2022-02-02,97870.7017813971,90635.45168056837,97389.57036971557,95416.9436585
2022-02-03,96626.18242589709,90500.63168056836,96564.62036971556,93180.4236585
2022-02-04,96452.0024258971,89653.78962256835,97879.0049213107,93618.0036585
2022-02-07,98798.60894389708,89852.06362706836,98843.1296973107,93319.6536585
2022-02-08,99481.38959589708,89739.05885906835,97035.97841431071,94084.31365849999
2022-02-09,100348.79896779526,90908.86630706834,98092.8695643107,95456.7236585
2022-02-10,99636.85241185546,89210.36630706834,97744.17646881069,93746.1836585
2022-02-11,100575.76823585547,89547.56630706835,98683.1722938107,91905.2536585
2022-02-14,99155.52005785546,88237.99630706834,96917.78229381068,91604.6936585
2022-02-15,98882.50093385547,87869.41173106834,96546.87229381071,93076.55365850001
2022-02-16,99367.10254935546,88609.55209856834,96931.0560828107,93180.4236585
2022-02-17,98592.82077185546,88646.53433749541,96142.4315573107,91198.05365850001
2022-02-18,98046.56719191198,88222.15235749542,95534.94426831027,90610.1936585
2022-02-22,95330.37884191197,87075.35276069495,94314.33345643294,89640.0036585
2022-02-23,94870.5718099201,86773.9619789774,93175.03700793296,88079.7436585
2022-02-24,96663.7390949201,86812.22040447741,91426.51674796565,89310.7136585
2022-02-25,98945.34873862262,89551.20539897741,93997.78747096565,91341.7036585
2022-02-28,100614.4945747264,91264.53428175779,95923.44892934657,91107.4436585
2022-03-01,99034.31843672639,90431.16440642187,95423.3160587445,89726.1936585
2022-03-02,100783.4973177264,91517.96523085581,97038.3330397445,91370.4336585
2022-03-03,100437.13731772639,91418.48919335581,95626.77139814213,90917.3836585
2022-03-04,99452.50468082778,91282.94833244261,95323.24556811279,90181.4536585
2022-03-07,97373.21768098447,89765.37384959002,94251.24360463701,87531.6636585
2022-03-08,96936.89185148448,89142.51240122449,92496.837419637,86870.8736585
2022-03-09,100800.08185148449,90644.79636022451,91309.45115043844,89191.3736585
2022-03-10,99477.84036148446,90163.66325122451,93388.06973968845,88789.1536585
2022-03-11,97563.64308808847,88578.32100872452,93021.55973968844,87664.2636585
2022-03-14,97226.78216373324,87940.90228372451,90094.94855155569,87025.5736585
2022-03-15,99753.64473673324,90104.46092872453,89106.5793622359,88932.80365850001
2022-03-16,101393.22868254245,92963.84012634431,88076.59306673589,90897.4936585
2022-03-17,104201.18908654246,94390.22860784431,90274.28807473593,92031.2236585
2022-03-18,105054.19458546878,95897.61188100425,90457.7955384784,93036.77365850001
2022-03-21,107142.98090020166,94752.33278400425,91412.55865743643,93008.0436585
2022-03-22,107295.68003038497,95553.13431800425,91345.47957893644,94093.1536585
2022-03-23,107413.88588586356,93122.96486400424,92678.00158343643,92886.4936585
2022-03-24,108208.15980086358,93722.05952500424,93370.15870343643,94281.0036585
2022-03-25,109145.97980086357,93768.28835150425,94392.41740343644,94740.6836585
2022-03-28,109189.10980086356,94627.38646650423,92638.25740343644,95397.05365850001
2022-03-29,110603.96953586358,96443.10646650424,92695.41099045787,96583.8236585
2022-03-30,110528.16405586358,95148.38693150424,92370.26306295788,96011.4336585
2022-03-31,110550.24003801998,93589.78629600424,92651.41698695788,94521.89365849999
2022-04-01,111708.37688901997,93501.61183100424,93317.85829895426,94787.09365849999
2022-04-04,111337.71928401997,93917.73351100425,94830.51888545426,95598.1636585
2022-04-05,109907.42579551996,92036.73059900425,92819.65651995425,94393.7136585
2022-04-06,108805.95418551998,90702.16590197153,91789.84140767233,93452.2536585
2022-04-07,109466.87535501998,91212.85845572152,92104.98625567234,93922.9836585
2022-04-08,110858.17232901999,90301.82677121132,91808.28675190089,93671.0436585
2022-04-11,109303.56232901997,89243.03146068435,90823.88525544973,92075.4236585
