,"3 folds (2022-24, as shipped)","6 folds (2019-24, extended)",SPY over 2022-24,SPY over 2019-24
2019-01-02,,100000.0,,100000.0
2019-01-03,,99844.19591649996,,98322.527125
2019-01-04,,101181.49591649997,,101639.027125
2019-01-07,,100974.51591649998,,102404.027125
2019-01-08,,101967.94591649997,,103344.527125
2019-01-09,,101590.60591649999,,103866.527125
2019-01-10,,102712.37591649998,,104294.027125
2019-01-11,,102470.60591649999,,104222.027125
2019-01-14,,101424.11909014684,,103637.027125
2019-01-15,,102668.88904614685,,104793.527125
2019-01-16,,102701.80904614685,,105090.527125
2019-01-17,,102661.91283814688,,105909.527125
2019-01-18,,102787.04924164689,,107286.527125
2019-01-22,,102634.82924164686,,105887.027125
2019-01-23,,103156.61924164687,,106053.527125
2019-01-24,,102811.36924164688,,106152.527125
2019-01-25,,102394.21924164688,,107030.027125
2019-01-28,,101739.90924164688,,106224.527125
2019-01-29,,101844.18924164688,,106121.027125
2019-01-30,,102144.91272309488,,107696.027125
2019-01-31,,103498.86487809489,,108650.027125
2019-02-01,,103719.20487809488,,108762.527125
2019-02-04,,103795.81417609486,,109536.527125
2019-02-05,,104086.04900409491,,110000.027125
2019-02-06,,103895.87900409487,,109869.527125
2019-02-07,,104750.17086352414,,108798.527125
2019-02-08,,104989.66680552412,,108947.027125
2019-02-11,,105134.20680552411,,109005.527125
2019-02-12,,105777.99680552413,,110364.527125
2019-02-13,,106044.72680552411,,110720.027125
2019-02-14,,106298.13017252412,,110522.027125
2019-02-15,,107094.35478852411,,111701.027125
2019-02-19,,107211.67478852412,,111899.027125
2019-02-20,,107001.1338140241,,112119.527125
2019-02-21,,107674.13148152408,,111732.527125
2019-02-22,,108386.76148152407,,112416.527125
2019-02-25,,108245.39008952408,,112587.527125
2019-02-26,,108185.9128985241,,112488.527125
2019-02-27,,108168.0137690241,,112425.527125
2019-02-28,,108574.8057415241,,112209.527125
2019-03-01,,109099.97574152407,,112920.527125
2019-03-04,,108854.69004152407,,112502.027125
2019-03-05,,109046.0647065241,,112376.027125
2019-03-06,,108419.95470652409,,111683.027125
2019-03-07,,108672.2485175241,,110792.027125
2019-03-08,,109224.32251202407,,110535.527125
2019-03-11,,109814.91306202409,,112142.027125
2019-03-12,,109798.3914400241,,112529.027125
2019-03-13,,109994.30979402407,,113289.527125
2019-03-14,,109948.3084565241,,113235.527125
2019-03-15,,110861.2064139514,,113793.527125
2019-03-18,,110649.6792699514,,114230.027125
2019-03-19,,110610.95550495139,,114266.027125
2019-03-20,,110146.23212477595,,113856.527125
2019-03-21,,111231.39229277594,,115103.027125
2019-03-22,,110673.07039027594,,112983.527125
2019-03-25,,111173.05757577595,,112844.027125
2019-03-26,,112306.69547277596,,113672.027125
2019-03-27,,111905.46706877596,,113069.027125
2019-03-28,,112096.47816877595,,113537.027125
2019-03-29,,112522.47643877594,,114239.027125
2019-04-01,,112925.15494277595,,115571.02712500001
2019-04-02,,113290.63746777594,,115670.027125
2019-04-03,,113480.26282527595,,115859.027125
2019-04-04,,113181.75090127595,,116151.52712499998
2019-04-05,,113805.11720327592,,116696.02712500001
2019-04-08,,113484.71157127594,,116808.52712500001
2019-04-09,,113328.69343627595,,116214.52712500001
2019-04-10,,113796.81301827593,,116601.52712499998
2019-04-11,,113892.98192077594,,116579.02712500001
2019-04-12,,114473.43519827594,,117344.027125
2019-04-15,,114468.99115627595,,117285.52712500001
2019-04-16,,113496.57613127594,,117362.02712499998
2019-04-17,,112686.15503188634,,117078.527125
2019-04-18,,113778.16736738634,,117290.027125
2019-04-22,,113722.35340027894,,117416.027125
2019-04-23,,114216.36461577895,,118460.02712499998
2019-04-24,,114229.91613627897,,118185.52712500001
