bar_time,strategy,symbol,event,side,price,equity,note
2026-08-22T09:59:59.999000+00:00,v2_stoch_mfi,UNIUSDT,ENTRY,long,4.175835,10000.00,sl=3.854593 tp=4.978941
2026-08-22T09:59:59.999000+00:00,ctrl2,TRUMPUSDT,ENTRY,short,2.515497,10000.00,sl=3.105500 tp=1.040489
2026-08-22T09:59:59.999000+00:00,ctrl3,TRUMPUSDT,ENTRY,long,2.516503,10000.00,sl=1.926500 tp=3.991511
2026-08-22T09:59:59.999000+00:00,v1_rsi_macd,TRUMPUSDT,ENTRY,long,2.516503,10000.00,sl=1.926500 tp=3.991511
2026-08-22T09:59:59.999000+00:00,ctrl0,ONDOUSDT,ENTRY,short,0.373125,10000.00,sl=0.407761 tp=0.286537
2026-08-22T09:59:59.999000+00:00,v2_stoch_mfi,CRVUSDT,ENTRY,long,0.329666,10000.00,sl=0.299191 tp=0.405853
2026-08-22T09:59:59.999000+00:00,ctrl4,XRPUSDT,ENTRY,short,1.501800,10000.00,sl=1.670844 tp=1.079189
2026-08-22T09:59:59.999000+00:00,ctrl4,XPLUSDT,ENTRY,long,0.093639,10000.00,sl=0.083284 tp=0.119527
2026-08-22T09:59:59.999000+00:00,ctrl1,ZECUSDT,ENTRY,long,796.609290,10000.00,"sl=712.200501 tp=1,007.631263"
2026-08-22T09:59:59.999000+00:00,ctrl2,ZECUSDT,ENTRY,short,796.290710,10000.00,sl=880.699499 tp=585.268737
2026-08-22T09:59:59.999000+00:00,v2_stoch_mfi,ZECUSDT,ENTRY,long,796.609290,10000.00,"sl=712.200501 tp=1,007.631263"
2026-08-22T09:59:59.999000+00:00,ctrl4,BNBUSDT,ENTRY,long,697.809534,10000.00,sl=670.139982 tp=766.983414
2026-08-22T09:59:59.999000+00:00,ctrl1,REUSDT,ENTRY,long,0.523205,10000.00,sl=0.450551 tp=0.704838
2026-08-22T09:59:59.999000+00:00,ctrl0,LINKUSDT,ENTRY,short,11.595680,10000.00,sl=12.366787 tp=9.667913
2026-08-22T09:59:59.999000+00:00,ctrl1,PUMPUSDT,ENTRY,short,0.004374,10000.00,sl=0.004977 tp=0.002866
2026-08-22T09:59:59.999000+00:00,v1_rsi_macd,PUMPUSDT,ENTRY,long,0.004376,10000.00,sl=0.003773 tp=0.005884
2026-08-22T09:59:59.999000+00:00,ctrl0,XLMUSDT,ENTRY,short,0.200160,10000.00,sl=0.218010 tp=0.155535
2026-08-22T09:59:59.999000+00:00,ctrl4,XLMUSDT,ENTRY,long,0.200240,10000.00,sl=0.182390 tp=0.244865
2026-08-22T09:59:59.999000+00:00,ctrl2,AAVEUSDT,ENTRY,long,122.584512,10000.00,sl=113.172486 tp=146.114578
2026-08-22T09:59:59.999000+00:00,v2_stoch_mfi,AAVEUSDT,ENTRY,long,122.584512,10000.00,sl=113.172486 tp=146.114578
2026-08-22T09:59:59.999000+00:00,ctrl1,WLDUSDT,ENTRY,short,0.401320,10000.00,sl=0.445112 tp=0.291838
2026-08-22T09:59:59.999000+00:00,ctrl2,WLDUSDT,ENTRY,short,0.401320,10000.00,sl=0.445112 tp=0.291838
2026-08-22T09:59:59.999000+00:00,ctrl2,LTCUSDT,ENTRY,short,51.669664,10000.00,sl=54.655403 tp=44.205318
2026-08-22T10:59:59.999000+00:00,ctrl2,ETHUSDT,ENTRY,long,2413.212546,10000.00,"sl=2,325.474568 tp=2,632.557492"
2026-08-22T10:59:59.999000+00:00,ctrl2,XRPUSDT,ENTRY,long,1.484597,10000.00,sl=1.313056 tp=1.913449
2026-08-22T10:59:59.999000+00:00,ctrl4,XRPUSDT,EXIT,short,1.484597,10001.16,signal-flatten pnl=+1.16
2026-08-22T10:59:59.999000+00:00,ctrl0,ZECUSDT,ENTRY,short,789.951978,10000.00,sl=874.569068 tp=578.409253
2026-08-22T10:59:59.999000+00:00,ctrl2,ZECUSDT,EXIT,short,790.268022,10000.77,signal-flatten pnl=+0.77
2026-08-22T10:59:59.999000+00:00,ctrl0,LINKUSDT,EXIT,short,11.533306,10000.82,signal-flatten pnl=+0.82
2026-08-22T10:59:59.999000+00:00,ctrl1,LINKUSDT,ENTRY,long,11.533306,10000.00,sl=10.770850 tp=13.439447
2026-08-22T10:59:59.999000+00:00,ctrl1,PUMPUSDT,EXIT,short,0.004498,9997.34,signal-flatten pnl=-2.66
